,Reviews
13,"Really this should be Zero stars. I'm not sure how this particular location can be consistently bad for so long. I live not far from this location, but I will usually drive farther to another location because from top to bottom this location fails. Every once and a while, like today, I'll stop by and see if they were able to turn it around. Well, I'm sad to say that they still are awful. I'm really shocked that this location is able to stay in business this long. 
I went through the drive thru and ordered a KFC value meal. 15 minutes later I got my food. Apologies? Are you kidding? I had clearly inconvenienced the staff by being a paying customer. They essentially tossed me my food without saying even ""thank you"" or ""come again"". I drove away (my mistake) and noticed when I got home that my drink was wrong, I received no napkins and no plastic ware. 
Overall, this place has consistently the worst fast food staffing that I have ever seen. Who ever manages this location should be ashamed and consider another profession. Do yourself a favor and go to the Wendy's next door, they are consistently good."
14,"Even in the middle of lunchtime on a weekday, food is cold-old. With that odor associated with something that as waited too long, where flavor transmutes to an impatient attitude. You could maybe account for this by imagining the burger, fries, and fish sandwich had been prepared at some suburban McDonalds and then trucked over to this urban outlet to be re-heated and allow to age a bit. This is an insult to the neighborhood."
15,I'm really not sure how this location is still in business.  Staff is uninterested in actually helping you.  Food is ehhhhhh!  There are so many good places to eat.  This ain't one of them.
16,"This location is supposed to be open until 1 AM and I came up at 10 PM and it was closed. I think it's fair to mention that all of these other reviews are correct in saying that it will take you about 30 minutes to get your food every time you come here. The only reason that I came this time was because it's close to my house and I was hungry after working all day, but of course they weren't even open during their normal hours."
17,"Employees try to avoid eye contact in order to pretend you're not there. I waited 5 minutes at the counter only to have no one approach me to take my order. I departed letting them know that I would put in a complaint. No surprise, no one got back to me on my complaint."
18,I feel like you have to TRY to screw up orders as bad as they do. Not only that but we had an experience once when I was there with my 2 kids and 2 employees were screaming at each other. They were cussing and finally one left. I got her name and called corporate to complain- never heard back. Next time we went in (we always went before PSR on Wednesdays) that employee was there again. I can't believe she wasn't fired for screaming and cussing in front of kids!
19,This is the slowest drive through I have ever been in my entire life not sure how this survives why people continue to come back here
20,"I placed my order at 6:05 pm. It's now 8:25 pm. I have still not received my order. When I called the person that answered the phone he was extremely short and rushed me off the phone. No apology. No refund. Just extremely rude. I called them 4 times and two of the 4 times he put me on hold or hung up. I only selected this restaurant due to it saying a delivery time is 45 minutes. Customer service can and should go a long way to make any organization thrive. This company needs to figure out a plan of action to get this fixed or they will not last long. Even a simple courtesy call to say we are running behind would have gone a long way. I still am hopeful my food comes soon because I'm still hungry. If the food is good, I'll be sure to let you all know if and when it ever arrives."
21,"Worst experience ever! Not only did they not deliver my food, but they claimed they tried knocking... I never once heard them.. I called them back letting them know that I would no longer be wanting the food and to just forget it. The manager said it was complementary and that a driver was on his way.. 40 minutes later still no food.. Manager even stated that it was due to the ""idiots"" in their store.. never ordering from here again.. Domino's has never let me down.. should not have switched it up tonight."
22,Sat in the drive thru for over ten minutes as the only customer.  I never got my order taken even though I tried to get the attention of the drive thru worker.  I ended up just leaving.
23,I work 3rd shift and get off at 2am and there is very few places that are 24hrs. Twice in two nights i was denied a burger. They said the grills are down then i asked for milkshake they said milkshake machine is down. Then on a 3rd occasion i was served food but after i didn't get a response in drive thru i drove around and they were all outside smoking.  Im done with this place. People don't wanna work apparently at this time of night. They shouldn't be open 24hrs to waste people's time.
24,"Stopped in today for a quick bite and to use the restroom.  I hate to be negative but oh my god the lobby was dirty.  The men's restroom was out of order.  I ordered 1 burrito, I'm not kidding I waited over ten minutes for that burrito.  They weren't even busy come on Taco Bell.  Fix this this place was nasty, my next phone call will be to the Health Department EWWWW!!!!!"
25,"Worst Taco Bell I've ever been in and I know they are fast food and not some fancy place. Been several times. They never have any ice in the machine out front, and the beverages are flat or stale. The trash cans are running over and the service is slow. Won't be back.  I can only imagine how they prepare the food. Really don't want to think about that."
26,"This place sucks
Worse than Shenanigans

Food.....so so
Service.....Horrible
Management.....Clueless

New owner, same garbage"
27,"First time I ordered,they said it would be an hour wait,my husband called after an hour and 30 mins,they said our pizza was on its way. We waited another 45 minutes or so before calling again,they  apologized,gave it to us for free then finally delivered it. When we got it both pizzas were wrong and ice cold,since they were free we didn't call back. Today we decided to give them another chance,they said 2 hours this time so my husband called them back and said he would just pick them up. He went up there to pick them up and they said the driver was on his way to our house,my husband came home,then they called and said the driver came back to the store and we just told them to deliver it because he was already home,we waited about 40 minutes and they call again saying ""the driver broke down so we have to pick it up"". We just moved to the neighborhood so 2 out of 2 bad experiences is enough for me,never again will I waste my time ordering from this clueless location!"
28,"I LOVE LJS fish, & it's been ages since having some. So, yesterday evening we went here despite the reviews. We went with eyes wide open, knowing the service would suck. It did. Food was good, but waiting in line was forever as cashier cut up with employees & customers ahead of us, who were apparently family as we noted they didn't have to pay very much...finally a manager came up from the back & told dude to just clock out & leave if he was just going to cut up. He did. As I said, food was good...when we finally got it. Table & booth were almost adhesive with old grease, though. Nasty. Health inspection was noted to be a 98, but with the lack of cleanliness, I can't imagine how. Next time, I'll wait forever, but get it to go."
29,"I thought the first time I went there, they were just having a bad day.  So I returned a second time.  Never again!! The service is a joke...20 mins to get my order and it was wrong. The stupid leading the stupid.  Management should be ashamed for hiring the most incompetent people in Indianapolis.  One question for the employees... What are you going to do with your life if  you can't even make a taco???"
30,"Stood in line (2nd in line) for 20 minutes one guy in front of me waiting on the cashier , the cashier was just standing there smiling taking the sweetest time ever possible I could have gotten to a log john silvers in Texas before he pressed a button on the register. The food was poorly made thrown on a plate and served after another 20 minutes of waiting. I could have went to the gulf and caught my own fish to filet them myself quicker than they threw  this ""fast food"" together. Fish wasn't the same as the LJS in goodlettsville before it shut down. The one in goodlettsville was the best one ever! There should be more of the around. Captain d's is a joke compared to LJS! 

8-16-17  , came back to try it out, same guy at the register taking his time to give me 3 dollars back, out of tartar sauce, fish is dry, how is this place still in business?, where is the GM for this place?.. they need new employees and tartar sauce."
31,This is one of the worst McDonalds on ever been to it's so dirty the food is horrible customer service is the pits it is one of the worst worst McDonald's ever been into very unsanitary don't eat here
32,"Continuously ** HORRIBLE SERVICE** They say its a training store, then some needs to train the trainers. Made a simple order no special request and still... could not get it right... 9:45 AM Sunday Morning... If at all possible GO SOMEWHERE ELSE"
33,Wow what can I say this kfc Taco Bell combo is the worst. I wanted some tacos to take home and they had no beef what in the world. None of the tables were clean. The workers were yelling while they were working. Just a bad place to eat.
34,I order delivery from this location now less and less     When I have ordered the last few times I have not received my gift cards or movie passes. My delivery last night included a steak Caesar where they threw the meat on the salad and then the dressing and croutons on top of it making the dressing slimy to hold and also how is this food safe?? I will let you judge by the picture if you would want to eat this.
35,"Wow! Not sure that I could add much more to what has been voiced in the prior reviews. I hear that the Sunday brunch is OK. However my experience in dining there for dinner was perhaps the worst ever. To recap, lousy food, horrible service, and an atmosphere that is ridiculous for a place serving food. The place should do everyone a favor and shut down the kitchen and make money off the drunk and obnoxious bar patrons. I wish that Yelp had a zero star rating."
36,"I am absolutely disgusted and will NEVER eat at Taco Bell after the experience I just had. I arrived home with my to-go order which included 3 tacos. Upon opening the 3rd taco I was stunned and sickened to find a BANDAID in the wrapping of my taco. And yes... I took multiple pictures. I tried to call the location but surprise surprise... no answer. 

NEVER AGAIN will I go near this place or Taco Bell in general for that matter."
37,I want to preface this with that I don't post many reviews but I felt the need to after tonight.. I started going to this location because of the elsmere subway was awful. The staff here are great and very helpful however after getting out of class and stopping at this location I witnessed a small bug which looked like a small roach crawling around fairly close to the food.. I would have rated this a 4 out of 5 normally but now this location will be added to my list of ones to avoid.
38,"Awful extremely salty food.  I order the same thing at every McDonald's I ever go to and for some reason the artisan chicken sandwich was extremely salty.  I asked called (which I almost never do with fast food joints), and spoke to a snippy female 'manager' and was told to stuff either bring the sandwich back - which I had fed to my dogs by this time.  No refund, no replacement.  The manager gave me 'corporate's' number to call.  I did and spoke to Dot.  After a lot of back and forth with Dot, who had said she was the owner, and then said she wasn't.  She claimed the manager was right, I said fine, keep the money I'll just write an online review.  Then she put me on hold to consult with the 'owner' and came back and offered me a refund if I could give her the precise time I could go back to the store.  I couldn't. So she offered coupons.  I said fine as long as they covered the artisan grilled chicken sandwich which is all I order from McDonald's.  Watch this space.  I will delete the review if I receive a satisfactory resolution."
39,"Like the others, I sat in their drive thru for 20 plus minutes. They truly don't give a crap about customers. Probably not the employees' fault, I'm sure it's just two in there..."
40,"The drive tru is under construction, but not inside, well it look the oppsite. They are not ready to take care of the customers. Poor customer services and dirty place. The beverage area is dirty.  The lids are all over the place. No straws. No ice in the dispensers, and the serving soda machine area is dirty. They do not have happy meal toys. I was told the only thing they have is whatever they get left from other times. 
The guy at the register has his headphones hanging from his ears and asking what I had order. The other employee just standing there. I looked inside my bag with food and no ketchup so I asked her for some and she slide a ketchup bin towards me. As I was walking towards the door I heard her tell the other employee thats why she does not put ketchup out for people to grab because they take everything. Well, thats why you should prepare the orders with everything it needs so customers do not interrupt your personal conversation."
41,Probably the worst sub I had here. The two ladies here are degrading the name of subway. They don't understand the offers which are written in English. I had a coupon which says any footlong sub for $5 but these uneducated ladies could not understand what it is and I have to pay the full price.
42,"They give new meaning to fast food, meaning you will wait an eternity to get your food.  The one consistent thing about this place is bad service all the time they never disappoint in this area."
43,"This McDonalds would not have any stars if it wasnt for the actual food tasting pretty good  and looking presentable, as compared to some fast food places that throw a burger together.  
I placed an order through the mobile order app, and 1 order was for a buttermilk crispy sandwich which went smoothly and the 2nd order was for an Oreo frappe and fries Just like any other time that I would do a mobile order I approach the drive-through and simply told the employee that I had ordered a mobile order and I would simply give a reference number and my order would be complete. This time, I pulled up to the window and had to repeat several times my order my order number and so on and so forth after about three times the lady just stop talking she didn't respond after several attempts to get her attentionSo I pull up to the next window and the gentleman was very polite and he did say that he wasn't quite sure about the mobile order and that I should come inside so I decide to do so. Once I came inside not only was the woman who I spoke with extremely rude at that point as well I also came to find she was a manager. I was approached with ""you got the crispy chicken right?"" And threw the bag down I told her yes I was but I had also ordered another item the Oreo frappe and french fries and it was her comment that was my shocking and she says well I didn't see that on my screen. So I was not going to receive that Oreo frappe or french fries X even after showing this manager my receipt on my mobile app for payment. The manager that time said it was not her problem was I had paid for it or not it was not her screen so it's not heProblem I told her it indeed was her problem and in fact does not mind considering she was the manager there now mom story short they were extremely extremely unprofessional they had the least amount of class I've seen in a very long time and just very very rude 
And that's all without mentioning I didn't recieve my fries I paid for or the credit fowards buy 5 McCafé/ 1 free"
44,Went through drive thru twice for 3 soft taco supremes and 1 burrito supremes only to have the orders wrong a rude manager and really cold tacos and all got said well its cold because they sat it at the window while someone cooked the burrito supreme!!! I work fast food and I know this is not how you do a customer!!!
45,"Shop around and find a different mover.  The movers were nice people.  I am not sure how these folks stay in business.  Unsuccessful in almost every regard.

Find someone else."
46,"Before eating at Pizza Hut, you should answer the following question:

""Do I hate myself?"" 

If you answered ""yes,"" you should definitely visit this establishment. ""Why?,"" you ask? Well, because you'll be greeted by a hostess who has to wipe down the table with a dirty rag right in front of you. Then, they'll tell you your drinks will ""take a while"" because they are out of clean cups. Once your food arrives, you won't be given silverware, plates, or half of what you actually ordered. And keep in mind, all of this occurred while an uncensored Rated R movie played on the tv. That's what this Pizza Hut has in store for you.

Or maybe you'll have a better experience. But probably not."
47,"I'm not proud of the fact I hit the occasional drive thru. It's just too darn quick and easy. The next time I'm tempted to stop in, I'll try to remember the wave of nausea and gastric distress my wife and I both experienced shortly after eating a burger from this McDonald's."
48,"Never call these folks, can't get anything right, no specials. Plenty of other options to call,jets,papa John's, dominoes, sir pizza. This place is horrible"
49,"I feel sick to my stomach just giving this Rallys one star. We visited on August 11, 2015. We went with family and ordered separately. They gave us all our food in 1 bag. We had 6 peoples good thrown in one bag. I got my coke, which tasted like diet so I opened the lid and there was a black hair. The man that took our order had a afro and no hair net on the other had dreads and also no hair net. I took my soda and told them I wanted a bottle water. My bf newphew had hair in his food as well. They messed our whole order up. The entire trip was discussting. I will never eat there or  reccommed anyone to ever eat there."
50,The dirtiest dining room ever worst customer service ever this place is a complete shithole i will never return
51,"Would give this place negative stars if possible... just wanted a coffee... sat in the drive thru for over 30 minutes.... they are either severely understaffed or do not understand the workflow... I've worked at a fast food chain before and never have seen this before. There was only 2 cars in front of me. It's bad because I sat here writing this review as I am waiting for the coffee. Highly depressing and it sucks since it's a multi billion dollar chain, it won't get changed..."
52,"How much intelligence does it take? I ordered 3 soft taco supremes for my girlfriend with no lettuce using the Taco Bell app. I double checked that I requested no lettuce. Yes, I probably should have checked the order before driving the 6 miles home, but I didn't think they'd get the order wrong AGAIN. And these people want $15 an hour?"
53,Didn't want to leave 1 star Too freakin slow in the drive thru.... 35 minute wait for $10 worth of food.
54,I went there on a Thursday night and they ran out of beef! How do you run out of beef at a Taco Bell! So I asked if I could get a discount on the chicken tacos because they were out of beef and they said no. They weren't even offering coupons. The people at the drive thru were fighting with each other as I got my order. If my kids didn't really want tacos I would have left. I am not going back to that Taco Bell ever again. I plan on calling corporate.
55,If i could give zero stars i would! This place sucks. I know you cant expect too much intelligence from a fast food restaurant but a little care for the customer would be nice. I will not ever go back!
56,"Another Taco Bell didn't have beef (WHAT!?!) so we tried this one, and they said they couldn't help b/c they didn't have enough staff to run the Taco Bell!!!  Is Taco Bell going out of business.  Horrible, horrible.  Never going back again.  Broke my kids hearts...they just wanted a cheese roll up...OMG.  Taco Bell, try caring about your customers.  Freaking ridiculous."
57,"I had been visiting this location quite a few times in my six months living in the area now, and they've officially lost a customer. Sadly the reviews I'm seeing is greatly comparable but this will be the first about the employees completely unacceptable behavior.

I pull up to the drive thru, and once the girl answers, I say ""I'll have a number 7 please"". Her reply was ""which number seven"". I said ""uhh the quesadilla?"" Then she proceeded to mouth of that I should have ""common sense that there are two restaurants here and when you're ordering there are more than one..."" I replied "" well that was a little rude, but I'd like the one with the quesadilla"". She went on and on again so I drove off, parked my car and went inside to talk to a manager. This attempt I talked to both a shift lead and the general manager and explained her behavior was quite rude, ordered my food, PAID FOR MY FOOD, and attempted to leave. But this is not the end of it.

The girl and a couple other employees were now picking up the parking lot and taking trash out, as I was pulling out of the parking lot one of them yelled something out as I was passing by. So I turned around, went back inside and THIS TIME I talked to the DISTRICT MANAGER! Explained the whole thing again and politely told him that I had in fact been an employee to this company before, and this behavior was absolutely unacceptable and would be subject to more severe consequences. But all in all, I did learn one thing about working in a place like that. Yes, you're paid minimum wage and the job sucks, but how you carry yourself to be a professional will go a long way. What they didn't know is that I, myself, being that girl at the window at Taco Bell years ago blessed me with another job opportunity that later brought me to the success I have today. 

I will probably never visit this location again, and I don't think I've ever been this pissed off about ordering tacos! I'll just sit here in the target parking lot, eat my food and hope this was handled accordingly."
58,"Went to this location few Saturdays ago. Ordered a $5.00 pizza and Crazy Bread. Was there almost 30 minutes. It seems this location caters more to call ins than walk ins. Perhaps they could divide their time between the two customers groups rather than have a walk in customer wait for so long while waiting on the people coming in for pick-ups. 
Haven't been here in a long time and thought I would give it a try again. Disappointed and most probably will not be back."
59,I'm changing my 5 star rating to a one because I can't make a negative number.. they use to be my go to as someone that's worked downtown at bars for many years.. tonight I got physically threatened just because I tried to show up to make an order rather than use GrubHub.. last time I used GH my food was about an hour late.. I went to make a pick up order and was greeted with a man locking the door and telling me he was going to beat my a** if I didn't leave. I called the cops and GH to let them know. This is the WORST thing to happen to Nashville since fanfair.
60,"Don't know how a fast food restaurant can get worse over time and still stay open. I kept hearing the commercials for the new improved chicken nuggets for really cheap. Should have known i was going to leave unhappy. First they were super slow to answer the drive through order. Then to tell me they were out of BBQ sauce, i was slightly annoyed but ok and asked for Mustard, Then i asked for Diet Coke and they were either out or having issues so i asked for bottled water. When i pulled up everyone ignored me for at least 5 min, then when they did open the window just a hand stuck out, not even acknowledging me. I gave them my Card and was rung up. The whole time sitting there i noticed a bag on the counter, i had a feeling it was mine and i was right. My order sat there for nearly 8 min before handed to me. Explains why it wasn't warm. Then they gave me ketchup instead of mustard and yup No water. I was too pissed off to deal with them, so i got my order and left. It was my fault for trying them out again, thinking they had changed. Nope i now know i will NEVER go back to this location again, and most likely all Burger Kings."
61,I would give zero stars because this place DOES NOT EXIST!!!!! It is a scam so beware everyone. Do not order anything.
62,"I will try to keep this one as gentle as possible.

This place sucks.

This location is probably the most inconsistent one out there. Nothing is ever made on a good standard level that I know McDonald's can deliver. 

Sometimes you get a sweet tea, it's great. Sometimes, it's bland. Sometimes, it's like drinking sugar. This goes for everything else on the menu. It's like gambling to go here.

Also, they do not like to give you your change (1 - 4 cents) back. I thought it was standard? I only had this problem on drive-thru though.

It is not ""24/7 drive-thru"" either. I went by around 4 in the morning, and was told they were closed. I guess they make their own rules! Oh, I love the Girard and Broad intersection."
63,"Literally just got my food handed to me sideways....ordered some nachos and had to eat them off of the lid.

Consistency is key, I guess."
64,Worst place ever! My Cinco De Mayo was ruined coming here. Service -1 Cleanliness-1 employees-1 misc-1 WTF Taco Bell pull your head out
65,"Terrible customer service and quality!!! Should've read the reviews.

I ordered through grub hub at the top of the hour, get a phone call 40 minutes afterwards from the driver who said he'd be there in 30 minutes. So I get off the phone and understandably think ""ok so an hour and 10 minutes for my delivery is a little long, but at least they have me a heads up."" An hour goes by and he still hasn't arrived. I then look at the reviews online and they are not good at all. So I call back and he says he's in he wrong building in my complex. So at this point I've waited an hour and 45 minutes just to find out this guys at the wrong place, and I had to call to find out. He shows up (finally) and I notice that my drinks are wrong and warm. After he rudely tries to make excuses he leaves cursing me. I open the boxes and the food looks awful and is cold. Tried to call back the restaurant and the driver to say I didn't want the order to no response. Had to call grub hub to get my refund and apparently the restaurant was rude to them as well. 

If I could give no stars I would. Waited almost two hours for the wrong drink which was warm, and cold pizza with the toppings dried out. Topping that with a rude driver and nonexistent customer service. These guys should just go out of business. Don't order here!"
66,"Just stopped in for a bathroom break and to get a drink and a large fri 
Very rude service my husband and I stood there for 3 mins while the 2 ladies had there back to us and was talking . As I said can I place a order in a nice voice I was ignored so I said it again and then she turned around and was like yes!!!!!! And was pissed because I interpreted her . 
Rude and the fires are old"
67,"We ordered from this restaurant Fri night 
It was by far the worst experience I have ever had with a restaurant. I recieved the order confirmation stating my order would be delivered in approximately 75 minutes at 7:45pm. That would make the delivery around 9pm. We didn't end up recieving our order until 10:10pm. When I called at 9:33pm I was offered no appology, but was told that our delivery was on the way and the driver should arrive in just a few minutes. After calling again at 10pm I again got no appology or even explaination, just a we're busy and an annoyed tone. When we finally recieved the pizza at 10:10pm it was very cold. We tried to eat a slice anyway because we were starving and it was terrible. We had ordered a meatball pizza and another pizza with sausage. The meat was very low quality and tasted like what I imagine my dogs treats would taste like. We had to throw it all away. On top of that when we requested a refund from the restaurant they refused. The only positive thing that came from this whole experience is the customer service we recieved from the app we used for the order, Slice. They quickly responded to our complaint and refunded our payment directly, since the restaurant refused. I highly recommend using the Slice app! I cannot recommend enough that you not do business with Lombardi's."
68,"Fucking horrible service, I ordered a milkshake and did not ever receive it and when we asked for a recipt the restraint strictly said no"
69,This is the absolute worst taco bell I have been to. I have been here multiple times hoping that one day it will get better but that has never happened. The convenience of being close to home is completely lost after you deal with how bad this place is. Avoid at all cost!
70,Incredibly slow. Our food was ready but employees just standing around and didn't collect the money for about 5 minutes of standing around. Ordered regular fries but got the size of a child's meal. Hamburger had wrong toppings and was not warm. Not sure what is going on here. Needs new management or something. Not going back.
71,This is possibly the worst I've ever been treated by a restaurant. Was hung up on and screamed at so loud my husband could hear him across the room. Even the staff at Grubhub were apparently treated the same way when they tried to intervene on my behalf. STAY AWAY FROM THIS PLACE!
72,"Waited 35 minutes for a dubble cheese burger..... it was around 3:30 pm, no line in the drive threw, a few cars in the parking lot, yet they still seemed to mess up a single, double cheese burger order... then I had to wait an additional 30 minutes for them to correct that single burger order.. wtf"
73,"Absolutely worst moving company ever, hands down. They took a ridiculously long time to complete the move, due to the fact that their workers are poorly trained and grossly underpaid. It ended up costing more than even the highest priced company would have. They damaged 3 pieces of furniture and blew me off when it came time to do the repairs. Do not hire this company. They mistreat their workers and their clients."
74,"They were out of beans.  A ""Mexican"" place was out of beans on a Saturday night around 10 p.m.  It was a nice night and I had my windows down. I could hear people complaining at the drive thru as it seemed like everyone in line had a bean-centric order.  All the poor window girl could do was apologize.  Back in the stone ages when I worked in fast food, if we ran out of an ingredient (which was rare), we went to another location to get more.  They couldn't do that?  Hopefully all these one-star reviews will catch the owner's attention. Love me some Taco Bell, but I avoid this location.  Oh, and nothing more charming that seeing employees sitting on the front stoop smoking during their break."
75,"This is probably the WORST Taco Bell I have ever been to. I have come here countless times and not a single time did I receive even subpar service. 
Whether the complaint be receiving the wrong food, being yelled at by employees, walking into a filthy restaurant, not having a large portion of their menu available, employees yelling at each other, managers yelling at employees, this Taco Bell/ KFC has it! So if you're looking for a terrible meal (assuming they have the food they advertise on their menu) with a nice side of trash on the floor, this is the place for you. 

Assuming you are NOT interested in being demeaned by minimum wage employees doing a sub sub par job, I'd suggest going to ANY other Taco Bell in the United States."
76,"Thank god I have a receipt to tell corporate how horrible this place was. I should've read the reviews before coming here. I know it's a fast food joint, but this is the worst! I witnessed them making food without gloves on! Disgusting! I even told the cashier to tell them to put gloves on, but he walked right past them. It took over 20 minutes to get my food and about ten minutes to get my order taken! Ridiculous! I warned a few customers too about them wearing no gloves and they walked out. The cashier looked high out of his mind and the rest of the staff was rude. I even saw one girl touch the bottom of her shoe and continue making food. Gross!"
77,Flies all over and even though it wasn't crowded it took 10 minutes for someone to come to the register to help me and waited an additional  30+ minutes for my food and all I ordered was a sausage mcmuffin meal. And after all that I had to get out of my car and go back in because they forgot the hashbrown.
78,"New name for a long-time place that never seems to succeed.  No wonder - wait staff very scattered, kitchen out of food, wait staff nice but completely clueless.  Food OK, but really slow service, told that the ""chef is cranky and mean.""  No thanks."
79,"Today we arrived at the drive-thru at 11am and sat for quite awhile. Not sure if they were having computer issues, we pulled forward to the window. An employee informed us that at that time they were technically open but not taking orders yet since they were counting their register drawers. At 11:20am they were still turning customers away, which is pretty crazy since they are supposed to open at 10:30am. 
Needless to say, Wendy's next door was getting quite a bit of business."
