,Reviews
21,"Thank you for a lovely morning!  I was in NJ early and decided to stop in for a delicious diner breakfast.  I got a taylor ham, egg, and cheese and a short stack of blueberry pancakes (I simply couldn't decide between sweet or savory, plus leftovers are never a bad thing).  

The egg sandwich was fantastic.  I was nervous when they said they didn't have kaiser rolls so I went with a hamburger roll.  It was an excellent decision.  The roll was excellent - not just an average cheap hamburger roll.  They layered the cheese on the sandwich, which to me is a must for a true egg sandwich.  It was served with home fries, which were sauteed with large slices of peppers and onions.  I'm not the biggest breakfast potatoes fan, but these were great and I appreciated that they didn't clearly just scoop some food from a huge pile of pre-cooked home fries.

The pancakes were great and fluffy.  My one gripe was their use of smuckers pre-packaged syrup.  I realize that if they put syrup in a container, it probably wouldn't be real maple syrup, but I sort of wish I didn't know that they were giving me sub-par syrup.

The server was friendly and very attentive.  The coffee refills were constant, and the coffee was actually good (so many diners fail at coffee).  Bonus points for the server agreeing not to judge my decision to get two breakfasts.

All around, I loved this place and hope to go back soon.  Long live the Jersey diners!"
22,"The new Han Dynasty took over the spot where the old Mid-Atlantic restaurant (with the unchanging menu) was. I like the Han Dynasty here a lot more than the one in Olde City even if I give both 4*. Maybe I'm biased, because I love the service here. They've always been very nice, and came over to check in with me and just make some small conversation when they heard I had a peanut allergy (even though they had no peanuts in any of the dishes I ordered; I think it was Han's sister?). I've been to this Han Dynasty more times in a month than the number of times I've been to the other.

Note though, that the different branches have different specialties. I heard the dan dan mian in Olde City is the best, but the one in UC isn't so good (I wouldn't know since it has peanuts). Overall, I think it;s okay food wise, still not spicy enough as with the other branch. But I like the layout and atmosphere a lot more.

Next, if you go during lunch, you can ask for lunch portions, that are smaller than the dinner portions, and half the menu price! So it's a great lunch place too, alone, or in a group of 2 or 3."
23,"This is a small hole in the wall in the African section of Woodland Avenue.  Though it might not look like much, there is some good food coming out of its kitchen representing Senegal and West Africa.  I enjoyed the national dish of Senegal - Thiboudienne - although note that here they do a version without the usual tomato sauce.  I also took home a Jollof Rice which is often called the mother dish of Jambalaya.  There are a few hightop tables inside for dining or you can order the food to-go.  Either way, service is friendly."
24,"Had dinner Saturday night for the first time at rusty pelican. Called ahead and made a reservation and requested a table next to the window overlooking the water. Hostess went to seat us away from the window, when we questioned her she huffed off and left us staying in the middle of the dining room!! She did return and sat us by the window. The rest of the evening was great, drinks, food and wait staff was excellent. Liz was our server and went above and beyond. Still have to say the hostess was very disappointing!"
25,"This place is amazing! The pizza cookies are a must. It came hot, soft, and crazy delicious. 

We tried the Peanut butter pizza cookie and the Oreo cookies, and both were perfection. I'm very eager to try other flavors. Also, being open until 3am is the smartest decision of any bakery in America. 

The only reason I'm not giving a 5 is because of the prices. But, to be honest, those late nights when all I want is a fresh baked cookie pizza, I'd be willing to pay $50."
26,"I was told this place is a must for a Sonoran hot dog. I was visiting from out of town and had never had one. It was good, but the whole Sonoran hot dog isn't really my thing (too many components for me) so I can't say it was great. The guacamole on the other hand, was great! I also had the taco combo - the chicken and carne asada were very good but the cabeza was slimy. BK has a salsa bar that allows you to help yourself to your own toppings and I appreciated that. Service was good, food arrived quickly. It was pretty packed during lunch on a weekday."
27,"Great atmosphere and decor. Super friendly staff seat you right away. I stopped once for lunch and one time for dinner. They have some lunch specials one of which was Pad Thai. I order with chicken as the protein but they have the typical options for this .  The portion was good for lunch and had good flavor.

For dinner I ordered the chicken satay to start and the Panang Curry with chicken for main course. I was very disappointed in the satay being that you only get two small skewers. The flavor and peanut dipping sauce were very good but they give a few more skewers.  The Panang was good and you get a good size portion of rice.

On a side note, I was disappointed they do not have Pad See Ew. Still some other options on the menu I will return to try.

The staff and manager really know customer service.  Look forward to returning soon!"
28,"We randomly decided to look for middle eastern food. Came up with Petra Restaurant near our home. Tried it with my family and liked it quite a bit. Try their Friday and Saturday special rice (it actually test like Indian fried rice) with lamb. Really tasty. Other things are very good too. Don't be discouraged with the location of the place, but food is good and inside of the restaurant is quite nice. Service is good too."
29,New owners turned it into a double threat: Bad food AND bad service. Shame. I loved this place.
30,I attended a meeting for the homebuilders Association of New Orleans here. The food was good and they took good care of the patrons. I had a mimosa which was good. I had a small cup of corn and crab soup which is fantastic but the portion was quite small. I had the grits and grillades and it was fantastic! The portion same grade on this one. The price was around $10. I've included a photo of the menu for your convenience. I didn't get a chance to test the Wi-Fi but I would say given the ambience and the quality of the food it's a repeat
31,"Super lunch option
Watch out for the yoga mats
You won't miss the meat

Lunch has been very strange for me since HipCity opened. Because here's the thing: I am a meat eater. I mean like my last meal on earth would be a burger. Or, just maybe, the fajita wrap. Because it's that good.

Haven't had everything on the menu yet, but everything I have had has been great. The buffalo bella and crispy hipcity ranch are amazing sandwich alternatives, especially paired with the green lemonade. The groothie is also delicious, and can stand on its own to get you through an afternoon if you only want to spend a few bucks.

Okay suffice it to say that the food is great. The staff is also very friendly, and when they get busy someone will come out along the line and take orders so congestion doesn't get too bad at the register itself.

My only issue with HipCity is that it is at times nearly impossible to figure out where to stand when you're waiting to order or waiting for your food. People kind of convene everywhere and it can get awkward when there's a line out the door. In such a small space it's hard to rectify, but if I see a line out the door I tend to walk on by not because it's a long wait (they're really efficient), it's just difficult to navigate the interior."
32,"The restaurant was very nicely decorated , and clean. There were six of us and everyone enjoyed their meals . I had the fried green tomatoes. They were perfectly seasoned and the sauce served with them was delicious. The down side is they arrived after everyone else had their meals . My friends had the chicken salad , the fried bologna sandwich and a cheeseburger. We shared the peach cobbler dessert and were not disappointed, get it with the ice cream !!"
33,"We loved the food, service and decor! The minute we walked in for a late lunch we were greeted with a huge smile and a warm welcome from the manager. Our server, Christina (i think that was her name) was delightful. The beer selection was great. We had the chicken rabe sandwhich and pepperoni pizza. The sandwhich was very good, on tasty foccacia bread. The pizza was superb!  We love the ""well done"" taste. We will definately be back. One problem we may have is our 7 year old is very picky and we didn't see a chidren's menu."
34,"This review is mainly chicken talk as Cuenelli's Peruvian Style Rotisserie Chicken brings to the table. Pollo a la brasa.... Rotisserie chicken.... Whatever you wanna call it.... I call it a technique done here with love and pride. Lets be clear, you will find no comparison coming from your grocer deli section or at the checkout isle.

Why do I think this chicken have some TLC put into it? On biting down of this chicken you can note seasoning flavors down to the bone. This is an inclination that prior to even getting into the rotisserie oven, these birds spend some time in some form of marinating process. Building flavor, the chicken also has a seasoning rub all over the skin.

Lets go to this rotisserie oven. Another unique element is this oven has a charcoal or grill like component. This gives the chicken a smoky element in the flavor build. As these birds turn in this oven, they keep moist from the natural drippings dropping from bird to bird as they rotate through this oven. In turn, this a reason why some people may note some pieces the skin end up dry and crispy and others get moist or soggy skin on their chicken In the end, you end up with this tender, smoky, well seasoned, fall off the bone goodness. Wait.... how can they add more flavor? Cuenelli's serves it with two dipping sauces, a chimichurri  which gives a herbaceous and slightly spicy flavor, and an aioli which has a garlicky - lemony element.

Round out this meal with some solid sides. Must haves for me would be the cilantro rice. Another herbaceous addition that works well with this meal. I got to use the word herbaceous a few times in this review, it has reflects such great imagery for food talk:) Must have beans with rice no? I pick the spicy pinto beans over the black beans at this establishment but lets be clear these beans are pretty spicy. I also love the maduros here. These sweet plantatains are cooked to perfection where the outsides has this caramelization from the natural sugar of the sweet plantain, leaving you with this toffee-like, stick to your tooth exterior and soft and sweet interior. 

Wash all down with Inca cola or a bottle of chicha limena.  Inca cola is almost like a cola champagne or a cream soda type of drink. Chicha Limena I say is Christmas in a bottle. This juice has a floral base blended with cinnamon and cloves.

Though Cuenelli's Peruvian Style Rotisserie Chicken have many other notable Latin dishes, the one thing that comes to mind to me is this chicken made with love. This chicken gives new meaning to all who thought they knew what rotisserie chicken is. I say, go to Cuenelli's and taste again for the very first time."
35,"fuck yes. meat, bourbon libations, and a salad (to round things out aka make myself feel better about ingesting the aforementioned two items.) i took myself on an early birthday date with myself and was not disappointed (neither in the food nor the company). i had a medium rare plain burger to see if it was worth all the fuss...no cheese, bacon, dressing, etc to disguise the quality of the meat. (of course, no bread either since i'm gluten free.) the burger was great - perfectly cooked and seasoned... though, i felt like a bit of a freak sitting at the bar eating my burger with a knife and a fork. i'd like to come back to try a fancypants burger since the extras look pretty tasty.  the salad was so-so; it was no frills with the perfect amount of dressing. the bartender-cum-waiter was super attentive but not cloyingly so. he made delicious sazeracs to accompany my repast."
36,"I deducted one star because the service was not great. Our waiter wasn't friendly at all. The first question was ""soup or salad "". I wanted to order appetizer and lunch special, but he assumed we were having lunch. Seaweed salad was really good. Shiomay was small but good. The sashimi was fresh. Banzai roll was great and unique. Raw salmon and white fish with avocado and fish egg wrapped in cucumber with some sweet sauce. Perfect for those who is looking for no-rice roll. Salad dressing was more like carrot purée."
37,"My boyfriend and I both decided to try Jesse's for the first time after we'd both grown up in the Brandon area and neither of us had ever been, and really hadn't heard much about the restaurant. 

We dined on a Saturday night and even though the parking lot and restaurant was packed, we were sat right away at a 2-top next to a window facing SR-60. 

Our server, Nikki, greeted us in a reasonable amount of time. We ordered our beverages and she brought them shortly after that. Something I did not like was there was not a drink menu on the table, but Nikki was able to tell us what beers were on draft and non-alcoholic drinks. She took our appetizer and entree order all at once. 

We ordered crab stuffed mushrooms and a French onion soup to share. These items came out together. The crab stuffed mushroom was basically a giant thing of crab stuffing on a TINY mushroom, which was almost laughable, but had a good flavor nonetheless. The French onion soup had a great flavor and wasn't scalding hot, which was super nice to eat right away. 

After our appetizer came out and we finished it, our Caesar salads came out as well as a loaf of bread and some butter. This was also really great pacing of our meal! Nikki never let empty plates sit on our table, was very attentive, and always made sure we had drinks in front of us. The Caesar salads were good. I gave the bread two chances... once dipped in the French onion soup and once just with butter on it... the bread could have definitely been better - it just didn't have a good flavor to it. 

I ordered the 6 oz filet and he ordered the 16 oz Delmonico - both cooked medium rare. The steaks are served with sautéed mushrooms, your choice of side, and a salad or soup of the day, which isn't mentioned anywhere on the menu. I got broccoli as my side and my boyfriend got a sweet potato with all the fixings. I saw three tables sat after us receive their entrees before us - I don't know if it was a kitchen issue or something else, but we were sat at least five minutes before each of those tables - I tried to make sense of the delay, but it honestly wasn't a big deal to me. Our steaks came out on hot metal plates that were inserted into a cooler outer shell. My filet was nice and thick and cooked perfectly and the broccoli was steamed very tenderly, but there were not enough sautéed mushrooms on the plate, in my opinion. If I had known it would have been like five mushrooms with the steak, I totally would have gotten them as a side. My boyfriend's steak was cooked perfectly as well, but being on the hot metal dish led the steak to cook more at the table, which he wasn't particularly pleased with. He enjoyed his sweet potato with butter, but it didn't come out with cinnamon on it like he requested. 

Anyway, I am sure we will return! Our server, Nikki, was fabulous. She was extremely attentive, had a great attitude, and was knowledgeable!"
38,"Don't judge a book by it's cover.  Looked like a any similar bar food type chain like Friday's, Bennigan's, or Ruby Tuesdays... JB Dawson's is far better.
Awesome experience from the second we stepped in, hostess greeted us with a smile and time to table waiting expectation.  We were promptly seated, and tended to right away with a smile and good attitude by a server, Nancy, who helped us with a beverage and app order.  

For our app we shared the twisted shrimp as it was Twisted Tuesday.  Nancy told us this dish far surpassed Bone Fish's Bang Bang Shrimp, to our surprise, it clearly did.  Our beverage and app shortly followed. 

Shortly there after another server stopped by, Kyle, who was our designated server.  Boy, smile, great greeting, great attitude, engaging.  We talked a bit, figured our way through the menu and placed our order.

For our dishes, my wife selected the Four Cheese Mac & Cheese side -- Sharp Cheddar, Pepperjack, Mozzarella & Reggiano dusted with bread crumbs with cornbread as she had large lunch.  Very good.  Unexpected, light, not overly creamy, not burnt, just right.  And the corn bread with maple butter..... ahhhhhh that was really nice.

 I ordered the fish tacos-- 3 Flour tortillas, seasoned tilapia, chimichurri sauce, mango cilantro salsa & a lime cream drizzle.  Passed on starch sides and had their asparagus that was cooked to perfection.  To my surprise the they were filling, nice size portion (see photo)  not a two bite app.  Very moist and super fresh fish.

Great first experience all around expect one key aspect.  Their so called craft beer menu was really limited and did not contain a variety of types; focused more on IPAs.  Limited thinking for the bar manager I must say.  Kyle our waiter also bar-tends.  We got to talking and he offered with no questions to swap out my beer for another option --- Stoudts Scarlet, which is a reddish beer.  For my beer palette it was better then the others limited options had a nice taste at the swallow then waned off.   Kyle informed us that they buy for all 4 restaurants and try to find a middling that works across the 4 guest demographics.  Not a great decision honestly.  There are so many great craft brewers in the Bucks County region and even Bristol area that should be showed cased and tested through.  For me a bad or poor beer selection stunts the overall experience.

We'll be back but I may need to sneak in my own beer selections from my craft collection."
39,Pancake Pantry is an institution in Nashville. A place to see country stars and have a great breakfast. Pancakes are good. It's a thing to do in Nashville. Plan to stand in line and enjoy the conversation.
40,"The Tuck Special. So good I would drive all the way back out to Nashville from TX just to have it again. It's a mix of strange ingredients- brisket, egg, pimento cheese but combined they are an amazing flavor combination. My husband didn't care for the BBQ sauce on the table, but meat was pretty good. I can see how this place gets crowded, but if you have patience and look up the menu ahead of time, it should be manageable."
41,"My boyfriend and I decided to stop by for lunch yesterday, and I am so glad we did. I ordered a side of beans, chips and salsa, and guacamole. He ordered two steak tacos and a side of rice. The beans are hands down my favorite I've had from a mexican restaurant.  My only complaint is that, unfortunately you do not get a very big portion. The salsa is so fresh tasting and delicious-very cilantro forward, and the chips were nice, thick and crunchy without being oily at all. Take note though, chips and salsa are not included with your purchase and must be bought separately. Now let me get to the best part-the made to order, chunky guacamole. The hardy chips would definitely withstand this heavy duty guac, but I opted instead for tortillas as my vessel to stuff it with along with my beans and salsa. The hot sauces were anything but, though admittedly my tolerance to spices may be higher than the average persons. While I had a great eating experience, my boyfriend did not. He said the meat was of low quality and quite flavorless. He did say he would give it another shot though!"
42,"I love this place. It's been in La Cumbre Plaza for I don't know how long now. If you are looking for a good sandwich look no further. All of the ingredients taste fresh, and their bread rolls are amazing. They are nice and soft, not with that cut the roof of your mouth crust. Being born and raise in Santa Barbara, actually just down the street, I have been coming here for some years now. I've tried probably over half of their sandwiches and all have been good, so good it's hard to pick a favorite.  In addition, I cannot forget to mention their awesome soda selection, so awesome I cannot hesitate to try something different with every visit. You won't find anything super fancy or exotic, like a roasted duck pastrami sandwich here, but if you're a local or just passing through and feel like having a great sandwich with good fresh ingredients swing by Plaza Deli and grab a bite."
43,"Service is excellent. Atmosphere is great. The raw bar was fantastic. Those were the best Alaskan crab legs I've had. Well worth splurging for them. 

My friends were drawn in by the awesome looking burger they had, and indeed the burgers were all they hoped for. It came with a generous portion of crispy fries. But if you want anything else besides the $17 burgers, expect to spend over $30 for your entree. While the ambience feels and looks casual, it is fine dining.

Unfortunately, the waiter did sell the shrimp and grits with the additional crab as ""heaven in his mouth"", but that it was not. I've had better shrimp and grits in Atlanta, and there is no reasonable way you should be paying $30 for shrimp and GRITS. Without the crab, it was still over $20.

But everything else was great. Drinks were delicious. Everything came out pretty quickly. Oh, when we mentioned we were visiting from out of town, the waiter was nice enough to give us a complimentary appetizer of the cool pizza to start. It was great but the name is hard to say or remember. And the rabbit and chicken liver pate was super worth since it comes in a huge mason jar.

I recommend sticking to the drinks, appetizers, and burgers and you'll be a pretty happy camper."
44,This amazing brick oven pizza joint gets better every time I go. The last I time I went I got a Rotolo and a prosciutto pizza. The Rotolo is dough wrapped around mortadella and ricotta cheese and topped with pistachios and oil. It is so good. I order it every time. It's about the size of a bun and cost $5. The pizza was amazing. The prosciutto was incredibly tasty. The dough is divine. The service is always great and the beer selection is good. Definitely one of the best pizza places in Philly.
45,"I love the concept of this place. One half of it a café that serves different types of coffees and teas, and breakfast type items, and the other world where it serves bar type apps, salads, and sandwiches,  Can't forget that they also serve a wide variety of beers that they serve on tap, bottled, or in can.  

This place is pretty darn casual, and one can hang out here for hours with their friends.  Reminds me of the good ol' college days when no time could pass especially on a chill out Sunday Fun day.

Bring your four legged friend too.  They are totally welcome."
46,"Second visit even better than the first!!  Loved the butternut squash and goat cheese Rangoons, and the delightfully filling mushroom yakisoba. Amazing flavor, and a smoky , meaty feel though it is meatless. Then came the coconut curry ramen. Heaven in a bowl. 
My only complaint is when you have to wait for seating there is no way to hang by the bar without constantly feeling you are in The servers' way as they breeze by with deliciousness in bowls and plates. So worth the wait before heading to the theater. Plus, food comes out very quickly so we made the curtain, just barely, but with really happy tummies."
47,"Excellent food, good service, great location. 

My wife had shrimp and grits, I had the barbecued shrimp -- both were outstanding. The appetizers were good. The bread pudding was a tad dry in the city that is supposed to be the mother lode of bread pudding. 

Mr. B came close to snagging the fifth star but the service could have been more attentive and the place is freezing - - in July in New Orleans. Wear long sleeves or bring a jacket."
48,"Walked by this place and decided to check it out. Great beer and burger place, made even better knowing many things were organic. You can order from the menu, or create your own burger. They also have rotating beers and specials. Nice atmosphere and staff. Burgers don't come with anything, so order from the sides if you want some fries. (There's also sandwiches and salads if you don't want a burger) Vegetarian friendly."
49,Came to see my son's band Last Frontier. The staff and food here is top notch!   Had the porkbelly and fish nachos.  Awesome.  Great selection of whisky. Great sound system for the band.
50,"I'm pretty sure this place has been open since before I was born and it's no surprise as to why. 

The absolute classic of an American diner, polite and attentive waitresses and most of their food made entirely from scratch. I would definitely say their fried chicken is the best I've had before, and fresh! Bottomless coffee too, for $1.75 which I think is quite reasonable. Nice pie, too :)"
51,"I attended the #welldoneTBO tweet-up at Anthony's Coal Fired Pizza last week and had a great time. The folks at Anthony's were amazing with the customer service. We got to try so many menu items, and all were amazing. The Philly Cheesesteak Pizza was my 10 year old's favorite. I loved the Cauliflower pizza...so buttery and garlicky and delicious (vegetarian). We also got to try the carmelized onion-smothered wings which were out of this world. Also tasted: meatballs, ribs, salad...all very good. We ordered off the menu a half and half pizza with pepperoni, sausage and mushrooms. So good. If they had liquor on the menu I would have given them five stars (I'm just not a beer or wine person). Thanks for a great evening Anthony's! We'll be back."
52,"A great restaurant to take people visiting from out of town. Very popular for breakfast/brunch on the weekends. Should expect to wait at least an hour any time after 9:30 AM and service takes a little while. But great menu options and delicious food. Also a great bakery, coffee and gelato counter that offers instant service or items to enjoy while waiting to get called."
53,"Excellent tasting Po-Boys but it could have had mire catfish, pretty skimpy.
Service, very good."
54,"On my first day in New Orleans, I walked to Fair Grinds for a caffeine boost. It was a beautiful afternoon, and a handful of people were scattered around the shop and the outdoor seating area, working on laptops and visiting with friends. 

I ordered a small cold brew with vanilla, easy on the ice. I added a hunk of gluten free zucchini bread (the bread butt; the best part!) to my order and paid with a credit card. They have a fancy touchscreen register that lets you add tip to your card purchase. 

I topped off my drink with whole milk -- which in itself was a real treat. It's so rare to see whole milk at the mixing station! 

Before leaving, I asked what else they had in the way of a GF offering, and the young man behind the counter said ""just the zucchini bread."" That's a real bummer; the zucchini bread is great but I'd love to have more than one option. 

My drink was smooth and had a perfect flavor. I was happy with my choices. 

If I lived in the neighborhood, I'd be here all the time. I like the hipstery feeling of this place, and everything I've ordered has been delightful."
55,"I loved this place!  We drove down from Tahoe just to eat here!  The 90 miles round trip was worth it!  The food was that good!  The Chicken Basil was the best!  And they have good Boba Tea!

Don't believe the nay-sayer about this place.  The food was pretty authentic Taiwanese.  Try it and see for yourself!"
56,"Cru is such a cute quaint wine bar! In the front is a wine store and in the back ins the wine bar. The wine bar area is small but had a very modern atmosphere.

I started off with the Vina Vino wine flight and my friends ordered The Bold and the Beautiful. Both came on a cute wood/chalkboard board with the wine written in chalk. All the wines were very tasty but the Vespucci  Primitivo and the Il Fauno di Arcanum were my favorite.

We then ordered the fig jam and prosciutto, bleu cheese, arugula flatbread. A little heavy on the blue cheese for my liking but overall was really good. We also ordered the Farmers Platter. You can choose anything from 1-7 items and build your plate from a variety of cheese and meats. We selected the Brillat-Savarin, Cypress Grove ""Purple Haze"", Blue Brie, Spressata and the Italian Speck. The farmers plate also came with jam, mustard,  caramelized nuts and crostini. The Farmers plate by far was my favorite!

Overall I really liked CRU. Its cute, quaint and cozy. Can't wait to come back!!"
57,"It may be a bit pricey, but it's good food in the cafe and a good selection in the grocery. I love their vegan sandwich and tofu melt and they always have a great selection of vegan sweets."
58,"First impression:

Home Wine Kitchen's ""No Menu Monday"" is a must-try for anyone interested in the St. Louis fine dining scene or good food more generally.  We came prepared with reservations, but the restaurant actually began quieting out while our delicious meal was ramping up; the tables offer more elbow room than the photographs online belie.  As the name of the evening suggests, no menu is in play here; you'll let your friendly server know if you have any food allergies or particular preferences, and before long watch your customized meal unfold.  That's a three-course meal, $30, plus $12 for three half-glass wine pairings.

As starters, we were served lamb meatballs -- likely the favorite of the night -- and goat cheese-stuffed poblano peppers.  The peppers had a good bit of spice offset by the chalkiness of the goat cheese, making an excellent pairing for my Soave (white wine).  The mains were a corvina fish delicately cooked in wax paper and a swordfish steak served over asparagus with homegrown tomatoes and ""love sauce.""  The corvina came out on the rarer side, perhaps a little too complex for this Midwesterner's palate, but the hearty swordfish was some of the best seafood I've tasted in Missouri.  Dessert comprised a champagne gelatin and a chocolate tart, both of which were topped by fluffy homemade whipped cream and quickly eaten.

The staff at Home Wine Kitchen made our visit pleasant, acting casual yet professional during our meal.  The restaurant patrons seemed to be largely industry types that oohed and aahed about the cuisine (perhaps a trifle self-importantly, but this Yelper is no saint himself).  I was surprised to note that other diners were served the same courses as we were (albeit in different configurations), when I was under the assumption there would be a little more variation; however, I can only imagine the challenge such an endeavor would pose to the talented kitchen.  The interior, lighting, and volume here were all very good.

By the end of the evening, we realized that putting yourself in the hands of the chef is not for the faint of heart, as evidenced by one conversation near us during the meal that all but stopped when a beautiful whole fish was served to the table.  Leaving the restaurant, I was glad that I had tried No Menu Monday, but did wonder what the meal would have been like had I ordered off the menu.  I guess that calls for a return visit, don't you?"
59,"I decided to stop by since I was in the area and craving some authentic Mexican cuisine. I was literally by myself (late lunchtime on a tues) and really excited to try the pazole!! It was delicious ( granted my first and only time) I believe it's pork and has hominy, lettuce, radishes,onions and they give you a small container of dried oregano. Not the biggest fan of the lettuce cause it's gets all wilted but add some hot sauce and it's a meal in itself!!! I got also got the taco lunch special (2 pork tacos and rice) and that was good. Besides the amazing service from the sweet lady, the salsa was way sweet! Wasn't the biggest fan but everything is def fresh! And the pineapple water is a must. I don't like pineapples but I read reviews and just had to try it and thank u guys! Great reviews :) I'm excited to come back to try the burritos esp since I come out here for Costco shopping (soooo close by!) pretty dangerous when I find good food cause then I get cravings :/ enjoy this gem and eat up!!!"
60,"That horrible angst - you want sushi, but you're not SO hungry that you can do AYCE or want to spend $25 for lunch. So we popped in on a weekend for a late lunch and decided to order a la carte.  I ordered a long roll and a hand roll, a drink and a chocolate mochi (OMG, I am officially in love with these things) and the total cost came to just under $20 with tip.  It filled my belly enough so that I was satisfied.  Had I gone for just one more roll, I probably would have broke even with the AYCE, but I probably would've been so stuffed to the point where I wouldn't have needed to eat anything else all day - not the plan for this particular day.

The rolls tasted fresh and delicious, but the surprise was definitely the mochi - so creamy and tasty."
61,"Food was fresh and tasted great, nothing amazing but price was fair and staff was very helpful and nice."
